subject_csv,MSE,RMSE,MAE,MAPE,MedianAE,R2,nRMSE,Spearman,Kendall
GEOSCIENCES.csv,262.6085106382979,16.20520011102294,11.059574468085106,5.664050023982811,8.0,0.9975753972874405,0.013921993222528298,0.9990707039558855,0.9792057767038763
AGRICULTURAL SCIENCES.csv,298.29241877256317,17.27114410722588,9.12274368231047,3.7697439745689474,6.0,0.9979203815203379,0.012812421444529584,0.9992490671996346,0.9837224478004806
IMMUNOLOGY.csv,495.70762711864404,22.264492518776258,14.148305084745763,10.377401082432348,11.0,0.9954965770400765,0.01921008845450928,0.997891046544318,0.9695713128667645
PLANT & ANIMAL SCIENCE.csv,600.351282051282,24.502066893453744,18.77179487179487,7.619793357070738,16.0,0.998119569422616,0.01272834643815779,0.9994695224100765,0.9830131233455606
PHYSICS.csv,603.9547738693467,24.575491325085377,16.2964824120603,9.294237977987839,14.0,0.9922915655767529,0.025000499822060405,0.9970499858596815,0.9702344100032791
COMPUTER SCIENCE.csv,696.0578034682081,26.382907411204858,12.531791907514451,20.949282301036686,7.0,0.9890379544990809,0.030857201650531997,0.9926238134164583,0.9561827287189132
SPACE SCIENCE.csv,698.6458333333334,26.431909377366846,16.145833333333332,35.681213178105835,10.0,0.8606809417174842,0.11906265485300381,0.9361598300141756,0.8200819875578255
MICROBIOLOGY.csv,713.7018633540373,26.71519910751251,14.0,18.3830347909235,10.0,0.9869378661693018,0.03351969775095673,0.9932430927377652,0.9601835138141461
BIOLOGY & BIOCHEMISTRY.csv,959.2030303030303,30.971003056133497,15.918181818181818,7.2073923419555275,10.0,0.995680416483503,0.01909432987431165,0.9979851967348764,0.9785497635918787
MATERIALS SCIENCE.csv,1015.4778481012659,31.86656316739014,24.04113924050633,8.061457192836208,18.0,0.9946670319104014,0.020453506525924352,0.9974606415704207,0.961185227122938
ENGINEERING.csv,1016.236559139785,31.878465445183917,24.272401433691755,5.080232427633503,21.0,0.9983814382229858,0.011566932309573265,0.9994476757135262,0.9827891487453617
MOLECULAR BIOLOGY & GENETICS.csv,1242.0641025641025,35.24292982378313,13.508547008547009,6.765337683396686,8.0,0.9884460990169105,0.03059282102758952,0.9946605701807171,0.9700373059693127
PHARMACOLOGY & TOXICOLOGY.csv,1336.4676258992806,36.55773004303304,29.258992805755394,13.182868681851437,28.0,0.9917552498813467,0.026782219811745816,0.9975076128625505,0.9720303927711719
NEUROSCIENCE & BEHAVIOR.csv,1377.7038461538461,37.11743318379985,20.396153846153847,28.307765732996632,12.0,0.9900221274334291,0.02906611838981977,0.99444708826599,0.9594414621583107
PSYCHIATRY PSYCHOLOGY.csv,1577.5565217391304,39.71846575258327,18.956521739130434,13.100281013049011,11.0,0.9854473256652527,0.03484075943209059,0.9926532396563326,0.9534108012668181
ECONOMICS & BUSINESS.csv,1658.302752293578,40.72226359491302,22.30275229357798,19.675152641511268,11.0,0.9425514229815792,0.07569193976749632,0.9705381555066909,0.8797504147512868
MATHEMATICS.csv,1904.5316455696202,43.64094001702553,25.265822784810126,195.43301556247462,11.0,0.8785317581959354,0.11104564889828379,0.9312032151626061,0.8217138645621572
MULTIDISCIPLINARY.csv,1905.25,43.649169522454834,22.204545454545453,24.706810376213166,4.5,0.44879081283152666,0.21396651726693547,0.7061145484075305,0.6285130701899414
"SOCIAL SCIENCES, GENERAL.csv",2046.4336099585062,45.237524357092155,24.33402489626556,5.848389405808836,19.0,0.9954488508554312,0.018975471626297046,0.9983325755197517,0.9850366670208685
CHEMISTRY.csv,3593.1678321678323,59.94303822937099,29.573426573426573,9.756709513510051,18.0,0.9908250088310009,0.028275018032722164,0.9967098868650364,0.9741757410986059
ENVIRONMENT ECOLOGY.csv,5883.437198067633,76.70356704917727,43.21980676328502,12.095035133385041,31.0,0.9835675147947422,0.03759978776920454,0.9936072913700562,0.959125128860071
CLINICAL MEDICINE.csv,6718.927461139896,81.96906404943206,60.293856402664694,3.988473260602949,51.0,0.9982481665950769,0.012166997780827084,0.9994671314739801,0.9874252769716396
